MeasureName,Aliases,Domain,Business Capability,Capability Description,Capability Confidence,Measure Description,Evidence / Source Excerpt
D COC Demand Change%,,Supply Planning,Supply Performance Monitoring,Monitors supply plan execution performance through cycle-over-cycle comparisons and fill-rate trending.,HIGH,"Cycle-over-cycle percentage change in daily demand quantity, providing granular daily demand plan stability measurement.",D COC Demand Change% for daily demand plan stability
D COC Demand Change%,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Cycle-over-cycle percentage change in daily demand quantity, providing granular daily demand plan stability measurement.",D COC Demand Change% for daily demand plan stability
AOP NR,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",HIGH,Annual Operating Plan net revenue target representing the approved financial revenue commitment for the fiscal year.,AOP NR as approved annual revenue operational target
AOP NR,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Annual Operating Plan net revenue target representing the approved financial revenue commitment for the fiscal year.,AOP NR as approved annual revenue operational target
LLLY Sales NR,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Three-year-ago net revenue actuals providing extended multi-year financial history for trend analysis and model validation.,LLLY Sales NR for extended multi-year revenue history
LLLY Sales NR,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Three-year-ago net revenue actuals providing extended multi-year financial history for trend analysis and model validation.,LLLY Sales NR for extended multi-year revenue history
Adjusted History NR,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Cleansed and adjusted historical net revenue data providing a reliable financial baseline for revenue forecasting models.,Adjusted History NR for cleansed revenue baseline
Adjusted History NR,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,Cleansed and adjusted historical net revenue data providing a reliable financial baseline for revenue forecasting models.,Adjusted History NR for cleansed revenue baseline
W Distribution Capacity Demand Late Short Quantity,Distribution Capacity Constraint,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Weekly demand quantity short or late due to distribution network capacity limitations, enabling distribution bottleneck identification.",Distribution Capacity Constraint for distribution bottleneck
W Distribution Capacity Demand Late Short Quantity,Distribution Capacity Constraint,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Weekly demand quantity short or late due to distribution network capacity limitations, enabling distribution bottleneck identification.",Distribution Capacity Constraint for distribution bottleneck
D Total Met On Time Quantity LC,LC Total Met On Time Quantity,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Daily on-time fulfilled quantity in local currency, supporting LC-level daily fulfillment performance tracking.",LC Total Met On Time Quantity for daily LC fulfillment
D Total Met On Time Quantity LC,LC Total Met On Time Quantity,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Daily on-time fulfilled quantity in local currency, supporting LC-level daily fulfillment performance tracking.",LC Total Met On Time Quantity for daily LC fulfillment
D Total Late Quantity LC,LC Total Late Quantity,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Daily late delivery quantity in local currency, enabling LC-level operational late delivery performance analysis.",LC Total Late Quantity for local currency late tracking
D Material Demand Late Short Quantity Frozen Window,Frozen Window,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily demand short or late due to frozen planning window constraints, identifying near-term inflexibility causing supply failures.",Frozen Window constraint causing daily material shortfall
W Other Material Demand Late Short Quantity,Other Material Constraints,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Weekly demand short or late due to material constraints not classified under standard categories, capturing residual material issues.",Other Material Constraints for residual weekly material issues
W Other Capacity Demand Late Short Quantity,Other Capacity Constraints,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Weekly demand short or late due to capacity constraints outside manufacturing, distribution, and procurement categories.",Other Capacity Constraints for unclassified capacity issues
W Other Capacity Demand Late Short Quantity,Other Capacity Constraints,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Weekly demand short or late due to capacity constraints outside manufacturing, distribution, and procurement categories.",Other Capacity Constraints for unclassified capacity issues
W Material Demand Late Short Quantity To Nodes,Material Late Short Quantity,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Weekly material-driven late or short demand quantity propagated to downstream network nodes, tracing material shortfall cascade effects.",Material Late Short Quantity to nodes for shortfall cascade
W Material Demand Late Short Quantity Material Short,Material Short,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Weekly demand short due to direct material availability shortfalls, identifying raw material or component supply gaps.",Material Short for direct material availability shortfall
W Material Demand Late Short Quantity Lead Time Before Current,Lead Time Plan Before Current,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Weekly demand short or late caused by lead time windows that fall before the current planning period, indicating late planned orders.",Lead Time Plan Before Current for lead time constraint
D Other Capacity Demand Late Short Quantity,Other Capacity Constraints,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Daily demand short or late due to unclassified capacity constraints, providing daily granularity for residual capacity issue investigation.",Other Capacity Constraints daily for unclassified issues
D Other Capacity Demand Late Short Quantity,Other Capacity Constraints,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily demand short or late due to unclassified capacity constraints, providing daily granularity for residual capacity issue investigation.",Other Capacity Constraints daily for unclassified issues
D Total Broken Network Late Short,Broken Network,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily demand short or late due to broken supply network links (missing routes, relationships), exposing network integrity issues.",Broken Network for daily broken network constraint tracking
D Total Short Quantity LC,LC Total Short Quantity,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Daily demand short quantity in local currency, enabling financial quantification of daily supply shortfall impact.",LC Total Short Quantity for daily LC shortfall tracking
D Material Demand Late Short Quantity Effectivity,Effectivity,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily demand short or late due to material effectivity date issues, identifying supply failures from BOM or component date misalignments.",Effectivity constraint causing daily material shortfall
W Manufacturing Capacity Demand Late Short Quantity,Manufacturing Capacity Constraint,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Weekly demand short or late due to manufacturing capacity limitations, enabling production bottleneck identification and capacity gap analysis.",Manufacturing Capacity Constraint for production bottleneck
W Manufacturing Capacity Demand Late Short Quantity,Manufacturing Capacity Constraint,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Weekly demand short or late due to manufacturing capacity limitations, enabling production bottleneck identification and capacity gap analysis.",Manufacturing Capacity Constraint for production bottleneck
D Material Demand Late Short Quantity To Nodes,Material Late Short Quantity,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily material-driven late or short demand quantity at downstream nodes, providing daily granularity for network material cascades.",Material Late Short Quantity daily to nodes for cascade
W Demand Fill Rate COC Change %,COC Demand Fill Rate Change %,Supply Planning,Supply Performance Monitoring,Monitors supply plan execution performance through cycle-over-cycle comparisons and fill-rate trending.,HIGH,"Cycle-over-cycle percentage change in weekly demand fill rate, tracking the trajectory of customer service level improvement across planning cycles.",COC Demand Fill Rate Change % for service level COC
W Total Broken Network Late Short,Broken Network,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Weekly demand short or late due to broken supply network links, providing weekly visibility into network integrity failures.",Broken Network weekly for network integrity failure tracking
D Demand Fill Rate COC Change %,COC Demand Fill Rate Change %,Supply Planning,Supply Performance Monitoring,Monitors supply plan execution performance through cycle-over-cycle comparisons and fill-rate trending.,HIGH,"Cycle-over-cycle percentage change in daily demand fill rate, enabling granular daily service level performance trend monitoring.",COC Demand Fill Rate Change % daily for service COC
W BOM Quantity Consumed Per Threshold Max,BOM Quantity Consumed Per Threshold Max,Supply Planning,BOM & Production Planning,"Manages bill-of-materials relationships, production quantities, and material-production associations for operational supply planning.",HIGH,"Maximum acceptable quantity consumed per BOM execution, used as a production quality and waste control threshold.",BOM Consumed Max Threshold for production quality control
W Total Short Quantity LC,LC Total Short Quantity,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Weekly demand short quantity in local currency, enabling financial-level supply shortfall tracking and commercial impact assessment.",LC Total Short Quantity weekly for LC shortfall tracking
D Procurement Capacity Demand Late Short Quantity,Procurement Capacity Constraint,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Daily demand short or late due to procurement capacity limitations, identifying purchasing and supplier throughput bottlenecks.",Procurement Capacity Constraint for daily supply bottleneck
D Procurement Capacity Demand Late Short Quantity,Procurement Capacity Constraint,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily demand short or late due to procurement capacity limitations, identifying purchasing and supplier throughput bottlenecks.",Procurement Capacity Constraint for daily supply bottleneck
W BOM Quantity Produced Per Threshold Min,BOM Quantity Produced Per Threshold Min,Supply Planning,BOM & Production Planning,"Manages bill-of-materials relationships, production quantities, and material-production associations for operational supply planning.",HIGH,"Minimum acceptable production output per BOM execution, defining the lower bound for production efficiency validation.",BOM Produced Min Threshold for minimum production output
D Manufacturing Capacity Demand Late Short Quantity,Manufacturing Capacity Constraint,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Daily demand short or late due to manufacturing capacity constraints, providing daily production bottleneck visibility.",Manufacturing Capacity Constraint daily for bottleneck tracking
D Manufacturing Capacity Demand Late Short Quantity,Manufacturing Capacity Constraint,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily demand short or late due to manufacturing capacity constraints, providing daily production bottleneck visibility.",Manufacturing Capacity Constraint daily for bottleneck tracking
W BOM Quantity Produced Per Threshold Max,BOM Quantity Produced Per Threshold Max,Supply Planning,BOM & Production Planning,"Manages bill-of-materials relationships, production quantities, and material-production associations for operational supply planning.",HIGH,"Maximum acceptable production output per BOM execution, defining the upper control limit for production output validation.",BOM Produced Max Threshold for production output control
W Material Demand Late Short Quantity Effectivity,Effectivity,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,Weekly demand short or late caused by material effectivity date misalignments in BOM or sourcing rules.,Effectivity constraint weekly for BOM date misalignment
W Material Demand Late Short Quantity Frozen Window,Frozen Window,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,Weekly demand short or late caused by frozen planning window restrictions limiting plan changes in the near-term horizon.,Frozen Window weekly constraint causing material shortfall
W BOM Quantity Consumed Per Threshold Min,BOM Quantity Consumed Per Threshold Min,Supply Planning,BOM & Production Planning,"Manages bill-of-materials relationships, production quantities, and material-production associations for operational supply planning.",HIGH,"Minimum acceptable quantity consumed per BOM execution, establishing the lower bound for material consumption efficiency.",BOM Consumed Min Threshold for material efficiency control
D Distribution Capacity Demand Late Short Quantity,Distribution Capacity Constraint,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Daily demand short or late due to distribution network capacity limitations, providing daily granularity for distribution bottleneck analysis.",Distribution Capacity Constraint daily for distribution gap
D Distribution Capacity Demand Late Short Quantity,Distribution Capacity Constraint,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily demand short or late due to distribution network capacity limitations, providing daily granularity for distribution bottleneck analysis.",Distribution Capacity Constraint daily for distribution gap
D Material Demand Late Short Quantity Material Short,Material Short,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily demand short due to direct material availability shortfalls, providing granular daily visibility into component supply gaps.",Material Short daily for direct component availability gap
D Material Demand Late Short Quantity Lead Time Before Current,Lead Time Plan Before Current,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily demand short or late caused by lead time constraints falling before the current planning period, identifying past-due supply issues.",Lead Time Before Current daily for past-due supply issues
W Procurement Capacity Demand Late Short Quantity,Procurement Capacity Constraint,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Weekly demand short or late due to procurement capacity limitations, monitoring supplier throughput and purchasing bottlenecks.",Procurement Capacity Constraint weekly for supply gap
W Procurement Capacity Demand Late Short Quantity,Procurement Capacity Constraint,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Weekly demand short or late due to procurement capacity limitations, monitoring supplier throughput and purchasing bottlenecks.",Procurement Capacity Constraint weekly for supply gap
W Capacity Demand Late Short Quantity To Nodes,Capacity Late Short Quantity,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Weekly capacity-driven late or short demand propagated to downstream network nodes, tracing capacity constraint cascade effects.",Capacity Late Short Quantity to nodes for cascade tracking
W Capacity Demand Late Short Quantity To Nodes,Capacity Late Short Quantity,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Weekly capacity-driven late or short demand propagated to downstream network nodes, tracing capacity constraint cascade effects.",Capacity Late Short Quantity to nodes for cascade tracking
D Capacity Demand Late Short Quantity To Nodes,Capacity Late Short Quantity,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Daily capacity-driven late or short demand at downstream nodes, enabling granular daily capacity constraint cascade analysis.",Capacity Late Short Quantity daily to nodes for cascade
D Capacity Demand Late Short Quantity To Nodes,Capacity Late Short Quantity,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily capacity-driven late or short demand at downstream nodes, enabling granular daily capacity constraint cascade analysis.",Capacity Late Short Quantity daily to nodes for cascade
W Total Met On Time Quantity LC,LC Total Met On Time Quantity,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Weekly on-time fulfilled quantity in local currency, enabling financial-level weekly fulfillment performance assessment.",LC Total Met On Time Quantity weekly for LC fulfillment
W Total Met On Time Quantity LC,LC Total Met On Time Quantity,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Weekly on-time fulfilled quantity in local currency, enabling financial-level weekly fulfillment performance assessment.",LC Total Met On Time Quantity weekly for LC fulfillment
W Total Late Quantity LC,LC Total Late Quantity,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Weekly late delivery quantity in local currency, providing financial quantification of weekly late delivery performance.",LC Total Late Quantity weekly for local currency late delivery
Status,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",HIGH,"Planning item status indicator showing the current workflow state (e.g., draft, approved, locked) for governance and process control.",Status for planning item workflow state governance
Status,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Planning item status indicator showing the current workflow state (e.g., draft, approved, locked) for governance and process control.",Status for planning item workflow state governance
Gap Closure Priority,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",HIGH,"Priority ranking assigned to gap closure actions, helping planners focus corrective efforts on the highest-impact demand gaps.",Gap Closure Priority for corrective action prioritization
Gap Closure Priority,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",HIGH,"Priority ranking assigned to gap closure actions, helping planners focus corrective efforts on the highest-impact demand gaps.",Gap Closure Priority for corrective action prioritization
Forecast Bias,Bias; Fcst Bias,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,Systematic directional error in the forecast (over- or under-forecasting) measured against actuals to identify model calibration needs.,Fcst Bias for systematic forecast error measurement
Gap Closure Priority Dummy,Gap Closure Priority,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",MEDIUM,"Dummy variable supporting the Gap Closure Priority workflow, used for display or sorting logic in the planning interface.",Gap Closure Priority Dummy for UI display support
Gap of AOP vs Forecast Value,Gap Fcst NR vs AOP NR; Gap of AOP vs Fcst Value,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Quantified volume and/or revenue gap between the AOP target and the current forecast, guiding commercial gap closure initiatives.",Gap Fcst NR vs AOP NR for commercial gap closure guidance
Gap of AOP vs Forecast Value,Gap Fcst NR vs AOP NR; Gap of AOP vs Fcst Value,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",HIGH,"Quantified volume and/or revenue gap between the AOP target and the current forecast, guiding commercial gap closure initiatives.",Gap Fcst NR vs AOP NR for commercial gap closure guidance
Outlook Confidence,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Planner-assigned confidence level in the forecast outlook, providing a qualitative signal of forecast reliability for S&OP decision-making.",Outlook Confidence as qualitative forecast reliability signal
Outlook Confidence,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Planner-assigned confidence level in the forecast outlook, providing a qualitative signal of forecast reliability for S&OP decision-making.",Outlook Confidence as qualitative forecast reliability signal
Long Term Driver Based Forecast NR,,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Net revenue equivalent of the long-term driver-based forecast, supporting strategic financial planning and long-range P&L outlook.",Long Term Driver Based Fcst NR for strategic revenue planning
Long Term Driver Based Forecast NR,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Net revenue equivalent of the long-term driver-based forecast, supporting strategic financial planning and long-range P&L outlook.",Long Term Driver Based Fcst NR for strategic revenue planning
D Demand Fill Rate LC,LC Demand Fill Rate,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Daily demand fill rate expressed in local currency terms, enabling LC-weighted service level measurement.",LC Demand Fill Rate daily for LC-weighted service level
D Other Material Demand Late Short Quantity,Other Material Constraints,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,"Daily demand short or late from unclassified material constraints, capturing residual material issues not covered by standard categories.",Other Material Constraints daily for residual material issues
W Demand Fill Rate LC,LC Demand Fill Rate,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Weekly demand fill rate expressed in local currency, enabling LC-weighted weekly service level performance measurement.",LC Demand Fill Rate weekly for LC-weighted service level
Outlook Confidence Dummy,Outlook Confidence,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",MEDIUM,"Dummy variable supporting the Outlook Confidence field workflow, used for display or sorting in the planning interface.",Outlook Confidence Dummy for UI display support
W Solver Demand Slice Factor,Solver Demand Slice Factor,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,Supply planning solver configuration parameter defining the demand slicing factor for disaggregating weekly demand into smaller planning units.,Solver Demand Slice Factor for demand disaggregation config
W Capacity Constrained,Capacity Constrained,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,Binary or flag indicator identifying whether a planning node or resource is capacity-constrained in the current planning cycle.,Capacity Constrained flag for constraint identification
W Plan Current Bucket,Plan Current Bucket,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,"Defines the current active planning time bucket (e.g., week number) within the solver's planning horizon.",Plan Current Bucket for solver planning horizon position
W Plan Start Bucket,Plan Start Bucket,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,"Defines the start time bucket of the supply planning horizon, setting the beginning boundary for solver optimization.",Plan Start Bucket for solver horizon start definition
W Solver Demand Slice Threshold,Solver Demand Slice Threshold,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,"Threshold parameter governing when the solver applies demand slicing logic, controlling granularity of demand distribution.",Solver Demand Slice Threshold for slicing logic control
W Material Constrained,Material Constrained,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,Binary or flag indicator identifying whether a planning entity faces material availability constraints in the current plan.,Material Constrained flag for material constraint identification
W Material Constrained,Material Constrained,Supply Planning,Inventory Planning & Management,"Manages inventory levels, replenishment, and stock policies including weeks-of-supply and days-of-supply targets.",HIGH,Binary or flag indicator identifying whether a planning entity faces material availability constraints in the current plan.,Material Constrained flag for material constraint identification
W Solver Flag Inventory Plan Type,Solver Flag Inventory Plan Type,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,"Solver configuration flag defining the inventory planning type (e.g., target days, min/max, safety stock) for the planning entity.",Solver Flag Inventory Plan Type for inventory policy config
W Solver Flag Inventory Plan Type,Solver Flag Inventory Plan Type,Supply Planning,Inventory Planning & Management,"Manages inventory levels, replenishment, and stock policies including weeks-of-supply and days-of-supply targets.",HIGH,"Solver configuration flag defining the inventory planning type (e.g., target days, min/max, safety stock) for the planning entity.",Solver Flag Inventory Plan Type for inventory policy config
W Solver Flag Inventory Plan Strategy,Solver Flag Inventory Plan Strategy,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,"Solver configuration flag defining the inventory planning strategy (e.g., build-ahead, level loading) applied by the optimizer.",Solver Flag Inventory Plan Strategy for optimizer config
W Solver Flag Inventory Plan Strategy,Solver Flag Inventory Plan Strategy,Supply Planning,Inventory Planning & Management,"Manages inventory levels, replenishment, and stock policies including weeks-of-supply and days-of-supply targets.",HIGH,"Solver configuration flag defining the inventory planning strategy (e.g., build-ahead, level loading) applied by the optimizer.",Solver Flag Inventory Plan Strategy for optimizer config
W Solver Delete Data,Solver Delete Data,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,"Solver administration flag controlling whether existing plan data is deleted before a new solver run, managing plan data lifecycle.",Solver Delete Data flag for plan data lifecycle management
W Solver Inventory Plan Bands,Solver Inventory Plan Bands,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,Solver parameter defining inventory planning bands (upper/lower bounds) used by the optimizer for inventory target setting.,Solver Inventory Plan Bands for optimizer inventory bounds
W Solver Inventory Plan Bands,Solver Inventory Plan Bands,Supply Planning,Inventory Planning & Management,"Manages inventory levels, replenishment, and stock policies including weeks-of-supply and days-of-supply targets.",HIGH,Solver parameter defining inventory planning bands (upper/lower bounds) used by the optimizer for inventory target setting.,Solver Inventory Plan Bands for optimizer inventory bounds
W Solver Flag Try Material Reallocation In RCA,Solver Flag Try Material Reallocation In RCA,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,Solver flag enabling material reallocation logic during root cause analysis to resolve material constraint-driven shortfalls.,Solver Flag Material Reallocation for RCA constraint resolution
W Solver Flag Try Material Reallocation In RCA,Solver Flag Try Material Reallocation In RCA,Supply Planning,Constraint Analysis & Root Cause Analysis,"Identifies and diagnoses supply constraints including material shortages, lead time violations, broken networks, and effectivity issues.",HIGH,Solver flag enabling material reallocation logic during root cause analysis to resolve material constraint-driven shortfalls.,Solver Flag Material Reallocation for RCA constraint resolution
W Solver Flag Respect Freeze Window For WIPs,Solver Flag Respect Freeze Window For WIPs,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,"Solver flag that enforces frozen horizon constraints on work-in-progress orders, preventing changes within the frozen window.",Solver Flag Freeze Window WIPs for WIP plan stability
